,place_id,avg_rating
96,ChIJbR-AY_3zNIgR1xsnLRjvNgY,3.2
97,ChIJJ7dx_zryNIgRfj-BR9Y3i2Y,5.0
98,ChIJY6YPiCL0NIgRxlEHmLC3_Kk,4.2
99,ChIJo4Q0zQL2NIgRO98jWvlgscY,3.7
100,ChIJMfUkVhv3NIgR3LUJaWerTz4,3.4
101,ChIJK294x3_yNIgRx8ObhdIKxHs,5.0
102,ChIJs4P5SnHyNIgR5tG_0YGCijU,3.0
103,ChIJMwOAd8rzNIgRZibBLB18HLY,4.8
104,ChIJOwrRseDtNIgR0IC_wHGsXig,3.7
105,ChIJCwvVbcXwNIgR3RmOaGI6PZ8,5.0
106,ChIJVeIUwG72NIgRqrLHD770Zfg,2.0
107,ChIJF0SM0OXxNIgRh_w3_8ps99U,4.6
108,ChIJB4tYmXDyNIgR4ifgrL9b0h4,5.0
109,ChIJ2_87vpnwNIgRF0tXJn08I9I,4.6
110,ChIJMXZKwoXxNIgRhgJVbDhwF2E,4.2
111,ChIJg00qINfwNIgRbnb2PobwbVk,5.0
112,ChIJW1g0rXTyNIgR4iQJsHK6eOg,4.0
113,ChIJcULRn_zxNIgRFGLNygA6FMc,3.3
114,ChIJtRweoVr3NIgRimp1T3D0eIg,5.0
115,ChIJddPwoMLwNIgR-v021li5iqA,4.9
116,ChIJbR-AY_3zNIgR1xsnLRjvNgY,3.2
117,ChIJJ7dx_zryNIgRfj-BR9Y3i2Y,5.0
118,ChIJY6YPiCL0NIgRxlEHmLC3_Kk,4.2
119,ChIJo4Q0zQL2NIgRO98jWvlgscY,3.7
120,ChIJMfUkVhv3NIgR3LUJaWerTz4,3.4
121,ChIJK294x3_yNIgRx8ObhdIKxHs,5.0
122,ChIJs4P5SnHyNIgR5tG_0YGCijU,3.0
123,ChIJMwOAd8rzNIgRZibBLB18HLY,4.8
124,ChIJOwrRseDtNIgR0IC_wHGsXig,3.7
125,ChIJCwvVbcXwNIgR3RmOaGI6PZ8,5.0
126,ChIJVeIUwG72NIgRqrLHD770Zfg,2.0
127,ChIJF0SM0OXxNIgRh_w3_8ps99U,4.6
128,ChIJB4tYmXDyNIgR4ifgrL9b0h4,5.0
129,ChIJ2_87vpnwNIgRF0tXJn08I9I,4.6
130,ChIJMXZKwoXxNIgRhgJVbDhwF2E,4.2
131,ChIJg00qINfwNIgRbnb2PobwbVk,5.0
132,ChIJW1g0rXTyNIgR4iQJsHK6eOg,4.0
133,ChIJcULRn_zxNIgRFGLNygA6FMc,3.3
134,ChIJtRweoVr3NIgRimp1T3D0eIg,5.0
135,ChIJddPwoMLwNIgR-v021li5iqA,4.9
136,ChIJbR-AY_3zNIgR1xsnLRjvNgY,3.2
137,ChIJJ7dx_zryNIgRfj-BR9Y3i2Y,5.0
138,ChIJY6YPiCL0NIgRxlEHmLC3_Kk,4.2
139,ChIJo4Q0zQL2NIgRO98jWvlgscY,3.7
140,ChIJMfUkVhv3NIgR3LUJaWerTz4,3.4
141,ChIJK294x3_yNIgRx8ObhdIKxHs,5.0
142,ChIJs4P5SnHyNIgR5tG_0YGCijU,3.0
143,ChIJMwOAd8rzNIgRZibBLB18HLY,4.8
144,ChIJOwrRseDtNIgR0IC_wHGsXig,3.7
145,ChIJCwvVbcXwNIgR3RmOaGI6PZ8,5.0
146,ChIJVeIUwG72NIgRqrLHD770Zfg,2.0
147,ChIJF0SM0OXxNIgRh_w3_8ps99U,4.6
148,ChIJB4tYmXDyNIgR4ifgrL9b0h4,5.0
149,ChIJ2_87vpnwNIgRF0tXJn08I9I,4.6
150,ChIJMXZKwoXxNIgRhgJVbDhwF2E,4.2
151,ChIJg00qINfwNIgRbnb2PobwbVk,5.0
152,ChIJW1g0rXTyNIgR4iQJsHK6eOg,4.0
153,ChIJcULRn_zxNIgRFGLNygA6FMc,3.3
154,ChIJtRweoVr3NIgRimp1T3D0eIg,5.0
155,ChIJddPwoMLwNIgR-v021li5iqA,4.9
156,ChIJbR-AY_3zNIgR1xsnLRjvNgY,3.2
157,ChIJJ7dx_zryNIgRfj-BR9Y3i2Y,5.0
158,ChIJY6YPiCL0NIgRxlEHmLC3_Kk,4.2
159,ChIJo4Q0zQL2NIgRO98jWvlgscY,3.7
160,ChIJMfUkVhv3NIgR3LUJaWerTz4,3.4
161,ChIJK294x3_yNIgRx8ObhdIKxHs,5.0
162,ChIJs4P5SnHyNIgR5tG_0YGCijU,3.0
163,ChIJMwOAd8rzNIgRZibBLB18HLY,4.8
164,ChIJOwrRseDtNIgR0IC_wHGsXig,3.7
165,ChIJCwvVbcXwNIgR3RmOaGI6PZ8,5.0
166,ChIJVeIUwG72NIgRqrLHD770Zfg,2.0
167,ChIJF0SM0OXxNIgRh_w3_8ps99U,4.6
168,ChIJB4tYmXDyNIgR4ifgrL9b0h4,5.0
169,ChIJ2_87vpnwNIgRF0tXJn08I9I,4.6
170,ChIJMXZKwoXxNIgRhgJVbDhwF2E,4.2
171,ChIJg00qINfwNIgRbnb2PobwbVk,5.0
172,ChIJW1g0rXTyNIgR4iQJsHK6eOg,4.0
173,ChIJcULRn_zxNIgRFGLNygA6FMc,3.3
174,ChIJtRweoVr3NIgRimp1T3D0eIg,5.0
175,ChIJddPwoMLwNIgR-v021li5iqA,4.9
176,ChIJbR-AY_3zNIgR1xsnLRjvNgY,3.2
177,ChIJJ7dx_zryNIgRfj-BR9Y3i2Y,5.0
178,ChIJY6YPiCL0NIgRxlEHmLC3_Kk,4.2
179,ChIJo4Q0zQL2NIgRO98jWvlgscY,3.7
180,ChIJMfUkVhv3NIgR3LUJaWerTz4,3.4
181,ChIJK294x3_yNIgRx8ObhdIKxHs,5.0
182,ChIJs4P5SnHyNIgR5tG_0YGCijU,3.0
183,ChIJMwOAd8rzNIgRZibBLB18HLY,4.8
184,ChIJOwrRseDtNIgR0IC_wHGsXig,3.7
185,ChIJCwvVbcXwNIgR3RmOaGI6PZ8,5.0
186,ChIJVeIUwG72NIgRqrLHD770Zfg,2.0
187,ChIJF0SM0OXxNIgRh_w3_8ps99U,4.6
188,ChIJB4tYmXDyNIgR4ifgrL9b0h4,5.0
189,ChIJ2_87vpnwNIgRF0tXJn08I9I,4.6
190,ChIJMXZKwoXxNIgRhgJVbDhwF2E,4.2
191,ChIJg00qINfwNIgRbnb2PobwbVk,5.0
192,ChIJW1g0rXTyNIgR4iQJsHK6eOg,4.0
193,ChIJcULRn_zxNIgRFGLNygA6FMc,3.3
194,ChIJtRweoVr3NIgRimp1T3D0eIg,5.0
195,ChIJddPwoMLwNIgR-v021li5iqA,4.9
196,ChIJbR-AY_3zNIgR1xsnLRjvNgY,3.2
197,ChIJJ7dx_zryNIgRfj-BR9Y3i2Y,5.0
198,ChIJY6YPiCL0NIgRxlEHmLC3_Kk,4.2
199,ChIJo4Q0zQL2NIgRO98jWvlgscY,3.7
